,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority
0,192.168.1.12,216.239.38.180,6,TLS,395,3,2023-03-30 22:48:48.298130,1680209328.298129773,51730,443,0x0018,1,1,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 324
	Encrypted Application Data: ad7271ff942eecd4bd90d9be8b1fe6b041f8e27cd37a220ff280fffcb0f7767a1c72ebf6…
	Application Data Protocol: http-over-tls
",,,,,,,,,
1,216.239.38.180,192.168.1.12,6,TLS,582,5,2023-03-30 22:48:48.558464,1680209328.558464189,443,51730,0x0018,1,330,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 511
	Encrypted Application Data: b6da61bcda16ffd1df9f76c2c3c5b1542d29de73f148d76c382758bc00cfac980c98a639…
	Application Data Protocol: http-over-tls
",,,,,,,,,
2,216.239.38.180,192.168.1.12,6,TLS,968,6,2023-03-30 22:48:48.559069,1680209328.559068630,443,51730,0x0018,517,330,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 897
	Encrypted Application Data: a1d595bf8042d1dd626ce31c6dff5b43e20e6119b77105193dff8c38f142a4ae7fe3340e…
	Application Data Protocol: http-over-tls
",,,,,,,,,
3,216.239.38.180,192.168.1.12,6,TLS,97,8,2023-03-30 22:48:48.561586,1680209328.561585811,443,51730,0x0018,1419,330,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 26
	Encrypted Application Data: 6ff4a2914f000f6164a55c1abacd735590af23168c2d3938da02
	Application Data Protocol: http-over-tls
",,,,,,,,,
4,216.239.38.180,192.168.1.12,6,TLS,105,9,2023-03-30 22:48:48.561890,1680209328.561890386,443,51730,0x0018,1450,330,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 5658b656db82e68cb53a6f6c7134f0d86c7bbb0f02ebe26fb10244489f6954602695
	Application Data Protocol: http-over-tls
",,,,,,,,,
5,192.168.1.12,216.239.38.180,6,TLS,105,11,2023-03-30 22:48:48.562003,1680209328.562002982,51730,443,0x0018,330,1489,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 30bd18d2eb2237e4573c70fce642f62176af15086ab7bb1d6890ac7020ff45c34111
	Application Data Protocol: http-over-tls
",,,,,,,,,
6,192.168.1.12,192.168.1.1,17,DNS,86,13,2023-03-30 22:48:48.640812,1680209328.640812393,,,,,,,0x45e4,0,www.foxnews.com,<Root>,1,0x0001,1,0,0
7,192.168.1.12,192.168.1.1,17,DNS,86,14,2023-03-30 22:48:48.640886,1680209328.640886285,,,,,,,0xbd39,0,www.foxnews.com,<Root>,28,0x0001,1,0,0
8,192.168.1.1,192.168.1.12,17,DNS,139,15,2023-03-30 22:48:48.646132,1680209328.646132433,,,,,,,0x45e4,1,www.foxnews.com,www.foxnews.com,1,0x0001,1,2,0
9,192.168.1.1,192.168.1.12,17,DNS,181,16,2023-03-30 22:48:48.647389,1680209328.647388746,,,,,,,0xbd39,1,www.foxnews.com,www.foxnews.com,28,0x0001,1,1,1
10,192.168.1.12,192.168.1.1,17,DNS,94,17,2023-03-30 22:48:48.647559,1680209328.647558635,,,,,,,0x1097,0,j.sni.global.fastly.net,<Root>,28,0x0001,1,0,0
11,192.168.1.1,192.168.1.12,17,DNS,94,18,2023-03-30 22:48:48.648154,1680209328.648154072,,,,,,,0x1097,1,j.sni.global.fastly.net,<Root>,28,0x0001,1,0,0
