,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority
0,192.168.1.12,131.175.186.68,6,TLS,576,1,2023-03-30 22:46:32.771231,1680209192.771230775,46314,443,0x0018,1,1,"Layer TLS:
	TLSv1 Record Layer: Handshake Protocol: Client Hello
	Content Type: Handshake (22)
	Version: TLS 1.0 (0x0301)
	Length: 517
	Handshake Protocol: Client Hello
	Handshake Type: Client Hello (1)
	Length: 513
	Version: TLS 1.2 (0x0303)
	Random: 133b453ef55fd9dc1eb87ec96fcfe70576b7d310339553656fd1a47c5e3dcf62
	GMT Unix Time: Mar 23, 1980 10:24:14.000000000 CET
	Random Bytes: f55fd9dc1eb87ec96fcfe70576b7d310339553656fd1a47c5e3dcf62
	Session ID Length: 32
	Session ID: 048b4183d009452cbfa47d0b8f253c618a8e071ae6d4e9a9d5567a963a8e40e2
	Cipher Suites Length: 32
	Cipher Suites (16 suites)
	Cipher Suite: Reserved (GREASE) (0x6a6a)
	Compression Methods Length: 1
	Compression Methods (1 method)
	Compression Method: null (0)
	Extensions Length: 408
	Extension: Reserved (GREASE) (len=0)
	Type: Reserved (GREASE) (56026)
	Length: 0
	Data: <MISSING>
	Certificate Status Type: OCSP (1)
	Responder ID list Length: 0
	Request Extensions Length: 0
	Supported Groups List Length: 8
	Supported Groups (4 groups)
	Supported Group: Reserved (GREASE) (0xdada)
	PSK Key Exchange Modes Length: 1
	PSK Key Exchange Mode: PSK with (EC)DHE key establishment (psk_dhe_ke) (1)
	Client Key Share Length: 41
	Group: Reserved (GREASE) (56026)
	Key Exchange Length: 1
	Key Exchange: 00
	ALPS Extension Length: 3
	Supported ALPN List
	Supported ALPN Length: 2
	Supported ALPN: h2
	Supported Versions length: 6
	Supported Version: Reserved (GREASE) (0x8a8a)
	Server Name list length: 19
	Server Name Type: host_name (0)
	Server Name length: 16
	Server Name: webeep.polimi.it
	EC point formats Length: 1
	Elliptic curves point formats (1)
	EC point format: uncompressed (0)
	ALPN Extension Length: 12
	ALPN Protocol
	ALPN string length: 2
	ALPN Next Protocol: h2
	Algorithms Length: 2
	Algorithm: brotli (2)
	Signature Hash Algorithms Length: 16
	Signature Hash Algorithms (8 algorithms)
	Signature Algorithm: ecdsa_secp256r1_sha256 (0x0403)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Signature: ECDSA (3)
	Renegotiation info extension length: 0
	JA3 Fullstring: 771,27242-4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,56026-5-10-45-51-17513-43-0-23-11-18-16-27-13-35-65281-43690,56026-29-23-24,0
	JA3: 35dbe0101b8fb89be83fe0bf9c5fed39
	Cipher Suite: TLS_AES_128_GCM_SHA256 (0x1301)
	Cipher Suite: TLS_AES_256_GCM_SHA384 (0x1302)
	Cipher Suite: TLS_CHACHA20_POLY1305_SHA256 (0x1303)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256 (0xc02b)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256 (0xc02f)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384 (0xc02c)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 (0xc030)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256 (0xcca9)
	Cipher Suite: TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256 (0xcca8)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA (0xc013)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA (0xc014)
	Cipher Suite: TLS_RSA_WITH_AES_128_GCM_SHA256 (0x009c)
	Cipher Suite: TLS_RSA_WITH_AES_256_GCM_SHA384 (0x009d)
	Cipher Suite: TLS_RSA_WITH_AES_128_CBC_SHA (0x002f)
	Cipher Suite: TLS_RSA_WITH_AES_256_CBC_SHA (0x0035)
	Extension: status_request (len=5)
	Extension: supported_groups (len=10)
	Extension: psk_key_exchange_modes (len=2)
	Extension: key_share (len=43)
	Key Share extension
	Key Share Entry: Group: Reserved (GREASE), Key Exchange length: 1
	Key Share Entry: Group: x25519, Key Exchange length: 32
	Extension: application_settings (len=5)
	Extension: supported_versions (len=7)
	Extension: server_name (len=21)
	Server Name Indication extension
	Extension: extended_master_secret (len=0)
	Extension: ec_point_formats (len=2)
	Extension: signed_certificate_timestamp (len=0)
	Extension: application_layer_protocol_negotiation (len=14)
	Extension: compress_certificate (len=3)
	Extension: signature_algorithms (len=18)
	Extension: session_ticket (len=208)
	Extension: renegotiation_info (len=1)
	Renegotiation Info extension
	Extension: Reserved (GREASE) (len=1)
	Type: status_request (5)
	Type: supported_groups (10)
	Type: psk_key_exchange_modes (45)
	Type: key_share (51)
	Type: application_settings (17513)
	Type: supported_versions (43)
	Type: server_name (0)
	Type: extended_master_secret (23)
	Type: ec_point_formats (11)
	Type: signed_certificate_timestamp (18)
	Type: application_layer_protocol_negotiation (16)
	Type: compress_certificate (27)
	Type: signature_algorithms (13)
	Type: session_ticket (35)
	Type: renegotiation_info (65281)
	Type: Reserved (GREASE) (43690)
	Length: 5
	Length: 10
	Length: 2
	Length: 43
	Length: 5
	Length: 7
	Length: 21
	Length: 0
	Length: 2
	Length: 0
	Length: 14
	Length: 3
	Length: 18
	Length: 208
	Length: 1
	Length: 1
	Data (208 bytes)
	Data: 00
	Supported Group: x25519 (0x001d)
	Supported Group: secp256r1 (0x0017)
	Supported Group: secp384r1 (0x0018)
	Group: x25519 (29)
	Key Exchange Length: 32
	Key Exchange: 4e2191f19abc0aeeaa03cb90d4ab32b7beadcc52a73a76636a8cf9b6ace4b66a
	Supported Version: TLS 1.3 (0x0304)
	Supported Version: TLS 1.2 (0x0303)
	ALPN string length: 8
	ALPN Next Protocol: http/1.1
	Signature Algorithm: rsa_pss_rsae_sha256 (0x0804)
	Signature Algorithm: rsa_pkcs1_sha256 (0x0401)
	Signature Algorithm: ecdsa_secp384r1_sha384 (0x0503)
	Signature Algorithm: rsa_pss_rsae_sha384 (0x0805)
	Signature Algorithm: rsa_pkcs1_sha384 (0x0501)
	Signature Algorithm: rsa_pss_rsae_sha512 (0x0806)
	Signature Algorithm: rsa_pkcs1_sha512 (0x0601)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Hash: SHA384 (5)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: SHA384 (5)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: SHA512 (6)
	Signature Hash Algorithm Signature: SM2 (4)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Hash Algorithm Signature: Unknown (5)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: Unknown (6)
	Signature Hash Algorithm Signature: RSA (1)
",,,,,,,,,
1,131.175.186.68,192.168.1.12,6,TLS,191,4,2023-03-30 22:46:32.781435,1680209192.781435296,443,46314,0x0018,1,523,"Layer TLS:
	TLSv1.2 Record Layer: Handshake Protocol: Server Hello
	Content Type: Handshake (22)
	Version: TLS 1.2 (0x0303)
	Length: 81
	Handshake Protocol: Server Hello
	Handshake Type: Server Hello (2)
	Length: 77
	Version: TLS 1.2 (0x0303)
	Random: 2383f6856d42e841249377ac2aaa2bb003696fdcdddf4c47d8b8a389dc06bf10
	GMT Unix Time: Nov 18, 1988 11:08:05.000000000 CET
	Random Bytes: 6d42e841249377ac2aaa2bb003696fdcdddf4c47d8b8a389dc06bf10
	Session ID Length: 32
	Session ID: 048b4183d009452cbfa47d0b8f253c618a8e071ae6d4e9a9d5567a963a8e40e2
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 (0xc030)
	Compression Method: null (0)
	Extensions Length: 5
	Extension: renegotiation_info (len=1)
	Type: renegotiation_info (65281)
	Length: 1
	Renegotiation info extension length: 0
	JA3S Fullstring: 771,49200,65281
	JA3S: 364ff14b04ef93c3b4cfa429d729c0d9
	Change Cipher Spec Message
	Expert Info (Note/Sequence): This session reuses previously negotiated keys (Session resumption)
	This session reuses previously negotiated keys (Session resumption)
	Severity level: Note
	Group: Sequence
	TLSv1.2 Record Layer: Change Cipher Spec Protocol: Change Cipher Spec
	TLSv1.2 Record Layer: Handshake Protocol: Encrypted Handshake Message
	Content Type: Change Cipher Spec (20)
	Content Type: Handshake (22)
	Version: TLS 1.2 (0x0303)
	Version: TLS 1.2 (0x0303)
	Length: 1
	Length: 40
	Handshake Protocol: Encrypted Handshake Message
	Renegotiation Info extension
