,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority
0,34.170.65.59,192.168.1.12,6,TLS,90,1,2023-03-30 22:47:29.827615,1680209249.827615180,443,57306,0x0018,1,1,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 19
	Encrypted Application Data: d8cac233a88572dccd5c0820e936309f7ddf89
	Application Data Protocol: http-over-tls
",,,,,,,,,
1,192.168.1.12,192.168.1.1,17,DNS,82,7,2023-03-30 22:47:30.462597,1680209250.462597407,,,,,,,0xa84f,0,www.msn.com,<Root>,1,0x0001,1,0,0
2,192.168.1.12,192.168.1.1,17,DNS,82,8,2023-03-30 22:47:30.462715,1680209250.462715270,,,,,,,0x86dd,0,www.msn.com,<Root>,28,0x0001,1,0,0
3,192.168.1.1,192.168.1.12,17,DNS,197,9,2023-03-30 22:47:30.467591,1680209250.467591019,,,,,,,0xa84f,1,www.msn.com,www.msn.com,1,0x0001,1,4,0
4,192.168.1.1,192.168.1.12,17,DNS,238,10,2023-03-30 22:47:30.467591,1680209250.467591140,,,,,,,0x86dd,1,www.msn.com,www.msn.com,28,0x0001,1,3,1
5,192.168.1.12,192.168.1.1,17,DNS,91,11,2023-03-30 22:47:30.468060,1680209250.468060577,,,,,,,0xf7ae,0,a-0003.dc-msedge.net,<Root>,28,0x0001,1,0,0
6,192.168.1.1,192.168.1.12,17,DNS,91,12,2023-03-30 22:47:30.468552,1680209250.468552376,,,,,,,0xf7ae,1,a-0003.dc-msedge.net,<Root>,28,0x0001,1,0,0
7,192.168.1.12,131.253.33.203,6,TLS,571,16,2023-03-30 22:47:30.553880,1680209250.553879986,36560,443,0x0018,1,1,"Layer TLS:
	TLSv1 Record Layer: Handshake Protocol: Client Hello
	Content Type: Handshake (22)
	Version: TLS 1.0 (0x0301)
	Length: 512
	Handshake Protocol: Client Hello
	Handshake Type: Client Hello (1)
	Length: 508
	Version: TLS 1.2 (0x0303)
	Random: 2ca05f8663055738811c2bc9eaa93e328b8bb827ac32752649b1562a3a7f37df
	GMT Unix Time: Sep 22, 1993 16:21:58.000000000 CEST
	Random Bytes: 63055738811c2bc9eaa93e328b8bb827ac32752649b1562a3a7f37df
	Session ID Length: 32
	Session ID: a28a6329592175c076a8cd739d4041fc78eb1e449c3f3ed4458eb6230fffce0e
	Cipher Suites Length: 86
	Cipher Suites (43 suites)
	Cipher Suite: TLS_AES_256_GCM_SHA384 (0x1302)
	Compression Methods Length: 1
	Compression Methods (1 method)
	Compression Method: null (0)
	Extensions Length: 349
	Extension: server_name (len=16)
	Type: server_name (0)
	Length: 16
	Server Name list length: 14
	Server Name Type: host_name (0)
	Server Name length: 11
	Server Name: www.msn.com
	EC point formats Length: 3
	Elliptic curves point formats (3)
	EC point format: uncompressed (0)
	Supported Groups List Length: 20
	Supported Groups (10 groups)
	Supported Group: x25519 (0x001d)
	ALPN Extension Length: 9
	ALPN Protocol
	ALPN string length: 8
	ALPN Next Protocol: http/1.1
	Signature Hash Algorithms Length: 40
	Signature Hash Algorithms (20 algorithms)
	Signature Algorithm: ecdsa_secp256r1_sha256 (0x0403)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Signature: ECDSA (3)
	Supported Versions length: 4
	Supported Version: TLS 1.3 (0x0304)
	PSK Key Exchange Modes Length: 1
	PSK Key Exchange Mode: PSK with (EC)DHE key establishment (psk_dhe_ke) (1)
	Client Key Share Length: 36
	Group: x25519 (29)
	Key Exchange Length: 32
	Key Exchange: a0bf5139ef1131439eabf390f66cc0cb2b26174c7caeb5b1b584faa2c6238b75
	Padding Data: 000000000000000000000000000000000000000000000000000000000000000000000000…
	JA3 Fullstring [truncated]: 771,4866-4867-4865-49196-49200-49195-49199-52393-52392-159-158-52394-49327-49325-49326-49324-49188-49192-49187-49191-49162-49172-49161-49171-49315-49311-49314-49310-107-103-57-51-157-156-49313-49309-49312-49308
	JA3: 07ff1e545ef8ab3fcf8a4dc9272221c2
	Cipher Suite: TLS_CHACHA20_POLY1305_SHA256 (0x1303)
	Cipher Suite: TLS_AES_128_GCM_SHA256 (0x1301)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384 (0xc02c)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 (0xc030)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256 (0xc02b)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256 (0xc02f)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256 (0xcca9)
	Cipher Suite: TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256 (0xcca8)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_256_GCM_SHA384 (0x009f)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_128_GCM_SHA256 (0x009e)
	Cipher Suite: TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256 (0xccaa)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8 (0xc0af)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_256_CCM (0xc0ad)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8 (0xc0ae)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_128_CCM (0xc0ac)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384 (0xc024)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384 (0xc028)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256 (0xc023)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256 (0xc027)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA (0xc00a)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA (0xc014)
	Cipher Suite: TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA (0xc009)
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA (0xc013)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_256_CCM_8 (0xc0a3)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_256_CCM (0xc09f)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_128_CCM_8 (0xc0a2)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_128_CCM (0xc09e)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_256_CBC_SHA256 (0x006b)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_128_CBC_SHA256 (0x0067)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_256_CBC_SHA (0x0039)
	Cipher Suite: TLS_DHE_RSA_WITH_AES_128_CBC_SHA (0x0033)
	Cipher Suite: TLS_RSA_WITH_AES_256_GCM_SHA384 (0x009d)
	Cipher Suite: TLS_RSA_WITH_AES_128_GCM_SHA256 (0x009c)
	Cipher Suite: TLS_RSA_WITH_AES_256_CCM_8 (0xc0a1)
	Cipher Suite: TLS_RSA_WITH_AES_256_CCM (0xc09d)
	Cipher Suite: TLS_RSA_WITH_AES_128_CCM_8 (0xc0a0)
	Cipher Suite: TLS_RSA_WITH_AES_128_CCM (0xc09c)
	Cipher Suite: TLS_RSA_WITH_AES_256_CBC_SHA256 (0x003d)
	Cipher Suite: TLS_RSA_WITH_AES_128_CBC_SHA256 (0x003c)
	Cipher Suite: TLS_RSA_WITH_AES_256_CBC_SHA (0x0035)
	Cipher Suite: TLS_RSA_WITH_AES_128_CBC_SHA (0x002f)
	Cipher Suite: TLS_EMPTY_RENEGOTIATION_INFO_SCSV (0x00ff)
	Server Name Indication extension
	Extension: ec_point_formats (len=4)
	Extension: supported_groups (len=22)
	Extension: application_layer_protocol_negotiation (len=11)
	Extension: encrypt_then_mac (len=0)
	Extension: extended_master_secret (len=0)
	Extension: post_handshake_auth (len=0)
	Extension: signature_algorithms (len=42)
	Extension: supported_versions (len=5)
	Extension: psk_key_exchange_modes (len=2)
	Extension: key_share (len=38)
	Key Share extension
	Key Share Entry: Group: x25519, Key Exchange length: 32
	Extension: padding (len=161)
	Type: ec_point_formats (11)
	Type: supported_groups (10)
	Type: application_layer_protocol_negotiation (16)
	Type: encrypt_then_mac (22)
	Type: extended_master_secret (23)
	Type: post_handshake_auth (49)
	Type: signature_algorithms (13)
	Type: supported_versions (43)
	Type: psk_key_exchange_modes (45)
	Type: key_share (51)
	Type: padding (21)
	Length: 4
	Length: 22
	Length: 11
	Length: 0
	Length: 0
	Length: 0
	Length: 42
	Length: 5
	Length: 2
	Length: 38
	Length: 161
	EC point format: ansiX962_compressed_prime (1)
	EC point format: ansiX962_compressed_char2 (2)
	Supported Group: secp256r1 (0x0017)
	Supported Group: x448 (0x001e)
	Supported Group: secp521r1 (0x0019)
	Supported Group: secp384r1 (0x0018)
	Supported Group: ffdhe2048 (0x0100)
	Supported Group: ffdhe3072 (0x0101)
	Supported Group: ffdhe4096 (0x0102)
	Supported Group: ffdhe6144 (0x0103)
	Supported Group: ffdhe8192 (0x0104)
	Signature Algorithm: ecdsa_secp384r1_sha384 (0x0503)
	Signature Algorithm: ecdsa_secp521r1_sha512 (0x0603)
	Signature Algorithm: ed25519 (0x0807)
	Signature Algorithm: ed448 (0x0808)
	Signature Algorithm: rsa_pss_pss_sha256 (0x0809)
	Signature Algorithm: rsa_pss_pss_sha384 (0x080a)
	Signature Algorithm: rsa_pss_pss_sha512 (0x080b)
	Signature Algorithm: rsa_pss_rsae_sha256 (0x0804)
	Signature Algorithm: rsa_pss_rsae_sha384 (0x0805)
	Signature Algorithm: rsa_pss_rsae_sha512 (0x0806)
	Signature Algorithm: rsa_pkcs1_sha256 (0x0401)
	Signature Algorithm: rsa_pkcs1_sha384 (0x0501)
	Signature Algorithm: rsa_pkcs1_sha512 (0x0601)
	Signature Algorithm: SHA224 ECDSA (0x0303)
	Signature Algorithm: SHA224 RSA (0x0301)
	Signature Algorithm: SHA224 DSA (0x0302)
	Signature Algorithm: SHA256 DSA (0x0402)
	Signature Algorithm: SHA384 DSA (0x0502)
	Signature Algorithm: SHA512 DSA (0x0602)
	Signature Hash Algorithm Hash: SHA384 (5)
	Signature Hash Algorithm Hash: SHA512 (6)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Hash: SHA384 (5)
	Signature Hash Algorithm Hash: SHA512 (6)
	Signature Hash Algorithm Hash: SHA224 (3)
	Signature Hash Algorithm Hash: SHA224 (3)
	Signature Hash Algorithm Hash: SHA224 (3)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Hash: SHA384 (5)
	Signature Hash Algorithm Hash: SHA512 (6)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Hash Algorithm Signature: Unknown (7)
	Signature Hash Algorithm Signature: Unknown (8)
	Signature Hash Algorithm Signature: Unknown (9)
	Signature Hash Algorithm Signature: Unknown (10)
	Signature Hash Algorithm Signature: Unknown (11)
	Signature Hash Algorithm Signature: SM2 (4)
	Signature Hash Algorithm Signature: Unknown (5)
	Signature Hash Algorithm Signature: Unknown (6)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: DSA (2)
	Signature Hash Algorithm Signature: DSA (2)
	Signature Hash Algorithm Signature: DSA (2)
	Signature Hash Algorithm Signature: DSA (2)
	Supported Version: TLS 1.2 (0x0303)
",,,,,,,,,
8,131.253.33.203,192.168.1.12,6,TLS,1506,19,2023-03-30 22:47:30.802559,1680209250.802559201,443,36560,0x0010,1,518,"Layer TLS:
",,,,,,,,,
9,131.253.33.203,192.168.1.12,6,TLS,1108,23,2023-03-30 22:47:30.803226,1680209250.803226256,443,36560,0x0018,2905,518,"Layer TLS:
	TLSv1.2 Record Layer: Handshake Protocol: Multiple Handshake Messages
	Content Type: Handshake (22)
	Version: TLS 1.2 (0x0303)
	Length: 3953
	Handshake Protocol: Server Hello
	Handshake Type: Server Hello (2)
	Length: 96
	Version: TLS 1.2 (0x0303)
	Random: 6425f562e597956d513c067def098781538d684f123f1d1b83bbd6e658562f4c
	GMT Unix Time: Mar 30, 2023 22:47:30.000000000 CEST
	Random Bytes: e597956d513c067def098781538d684f123f1d1b83bbd6e658562f4c
	Session ID Length: 32
	Session ID: eb3b0000b3f18567a5d3e14872ba6d22dc5b21510e7ab74fbe219ecacefac247
	Cipher Suite: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 (0xc030)
	Compression Method: null (0)
	Extensions Length: 24
	Extension: application_layer_protocol_negotiation (len=11)
	Type: application_layer_protocol_negotiation (16)
	Length: 11
	ALPN Extension Length: 9
	ALPN Protocol
	ALPN string length: 8
	ALPN Next Protocol: http/1.1
	Renegotiation info extension length: 0
	JA3S Fullstring: 771,49200,16-23-65281
	JA3S: 17e97216fa7f4ec8c43090c6eed97c25
	Certificates Length: 3477
	Certificates (3477 bytes)
	Certificate Length: 2097
	Certificate: 3082082d30820615a003020102021312003024dd3ea511e6a77959040000003024dd300d… (id-at-commonName=*.msn.com)
	signedCertificate
	version: v3 (2)
	serialNumber: 0x12003024dd3ea511e6a77959040000003024dd
	signature (sha256WithRSAEncryption)
	Algorithm Id: 1.2.840.113549.1.1.11 (sha256WithRSAEncryption)
	issuer: rdnSequence (0)
	rdnSequence: 3 items (id-at-commonName=Microsoft RSA TLS CA 01,id-at-organizationName=Microsoft Corporation,id-at-countryName=US)
	RDNSequence item: 1 item (id-at-countryName=US)
	RelativeDistinguishedName item (id-at-countryName=US)
	Id: 2.5.4.6 (id-at-countryName)
	CountryName: US
	DirectoryString: printableString (1)
	printableString: Microsoft Corporation
	validity
	notBefore: utcTime (0)
	utcTime: 2022-09-08 23:53:46 (UTC)
	notAfter: utcTime (0)
	subject: rdnSequence (0)
	rdnSequence: 1 item (id-at-commonName=*.msn.com)
	uTF8String: *.msn.com
	subjectPublicKeyInfo
	algorithm (rsaEncryption)
	subjectPublicKey: 3082010a0282010100eb345ad0c22d7aeaa43ea4018a803b087cff708647a06e009a744b…
	modulus: 0x00eb345ad0c22d7aeaa43ea4018a803b087cff708647a06e009a744bc46473a143875eba…
	publicExponent: 65537
	extensions: 11 items
	Extension (SignedCertificateTimestampList)
	Extension Id: 1.3.6.1.4.1.11129.2.4.2 (SignedCertificateTimestampList)
	Serialized SCT List Length: 357
	Serialized SCT Length: 117
	SCT Version: 0
	Log ID: e83ed0da3ef5063532e75728bc896bc903d3cbd1116beceb69e1777d6d06bd6e
	Timestamp: Sep  9, 2022 00:03:53.101000000 UTC
	Extensions length: 0
	Signature Algorithm: ecdsa_secp256r1_sha256 (0x0403)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Length: 70
	Signature: 3044022002f5b0b7afbd123d6c73a5bda38e6af2802a9f1fda16c9f75340413da2a8c6f2…
	CertificatePoliciesSyntax: 2 items
	PolicyInformation
	policyIdentifier: 1.3.6.1.5.5.7.3.1 (id-kp-serverAuth)
	CertificateTemplate
	templateID: 1.3.6.1.4.1.311.21.8.16155509.8105089.5391003.2969441.12400096.221.10585921.15764560 (iso.3.6.1.4.1.311.21.8.16155509.8105089.5391003.2969441.12400096.221.10585921.15764560)
	templateMajorVersion: 100
	templateMinorVersion: 39
	AuthorityInfoAccessSyntax: 2 items
	AccessDescription
	accessMethod: 1.3.6.1.5.5.7.48.2 (id-ad-caIssuers)
	accessLocation: 6
	uniformResourceIdentifier: http://www.microsoft.com/pki/mscorp/Microsoft%20RSA%20TLS%20CA%2001.crt
	SubjectKeyIdentifier: 5a58cc1bc216c736e10b87952b657bbb7e8480d9
	critical: True
	Padding: 4
	KeyUsage: b0
	1... .... = digitalSignature: True
	.0.. .... = contentCommitment: False
	..1. .... = keyEncipherment: True
	...1 .... = dataEncipherment: True
	.... 0... = keyAgreement: False
	.... .0.. = keyCertSign: False
	.... ..0. = cRLSign: False
	.... ...0 = encipherOnly: False
	0... .... = decipherOnly: False
	GeneralNames: 5 items
	GeneralName: dNSName (2)
	dNSName: *.msn.com
	CRLDistPointsSyntax: 1 item
	DistributionPoint
	distributionPoint: fullName (0)
	fullName: 2 items
	policyQualifiers: 1 item
	PolicyQualifierInfo
	Id: 1.3.6.1.5.5.7.2.1 (id-qt-cps)
	DirectoryString: http://www.microsoft.com/pki/mscorp/cps
	AuthorityKeyIdentifier
	keyIdentifier: b5760c3011cec792424d4cc75c2cc8a90ce80b64
	KeyPurposeIDs: 2 items
	KeyPurposeId: 1.3.6.1.5.5.7.3.1 (id-kp-serverAuth)
	algorithmIdentifier (sha256WithRSAEncryption)
	encrypted: 3556df57207556289c63a0484cbbc0cc546f684e1f52ab7aa3d498bb3f4970cb9a417c54…
	BasicConstraintsSyntax
	cA: True
	pathLenConstraint: 0
	Curve Type: named_curve (0x03)
	Named Curve: secp384r1 (0x0018)
	Pubkey Length: 97
	Pubkey: 0406b3fb746d818b4a21355fb118d39dc9113f374dce572ac081ae890c3fa8f4206be4c3…
	Signature Length: 256
	Signature: 425050d7ca1cff9b0f671c9f36f49abb629dbd1355c963f68a049ba0e35503cda93b4e04…
	Handshake Protocol: Certificate
	Handshake Protocol: Server Key Exchange
	Handshake Protocol: Server Hello Done
	Handshake Type: Certificate (11)
	Handshake Type: Server Key Exchange (12)
	Handshake Type: Server Hello Done (14)
	Length: 3480
	Length: 361
	Length: 0
	Extension: extended_master_secret (len=0)
	Extension: renegotiation_info (len=1)
	Renegotiation Info extension
	Signed Certificate Timestamp (Google 'Argon2023' log)
	Signed Certificate Timestamp (Cloudflare 'Nimbus2023' Log)
	Signed Certificate Timestamp (Google 'Xenon2023' log)
	EC Diffie-Hellman Server Params
	Type: extended_master_secret (23)
	Type: renegotiation_info (65281)
	Length: 0
	Length: 1
	Certificate Length: 1374
	Certificate: 3082055a30820442a00302010202100f14965f202069994fd5c7ac788941e2300d06092a… (id-at-commonName=Microsoft RSA TLS CA 01,id-at-organizationName=Microsoft Corporation,id-at-countryName=US)
	signedCertificate
	version: v3 (2)
	serialNumber: 0x0f14965f202069994fd5c7ac788941e2
	signature (sha256WithRSAEncryption)
	Algorithm Id: 1.2.840.113549.1.1.1 (rsaEncryption)
	Algorithm Id: 1.2.840.113549.1.1.11 (sha256WithRSAEncryption)
	Algorithm Id: 1.2.840.113549.1.1.11 (sha256WithRSAEncryption)
	Algorithm Id: 1.2.840.113549.1.1.1 (rsaEncryption)
	Algorithm Id: 1.2.840.113549.1.1.11 (sha256WithRSAEncryption)
	issuer: rdnSequence (0)
	rdnSequence: 4 items (id-at-commonName=Baltimore CyberTrust Root,id-at-organizationalUnitName=CyberTrust,id-at-organizationName=Baltimore,id-at-countryName=IE)
	RDNSequence item: 1 item (id-at-organizationName=Microsoft Corporation)
	RDNSequence item: 1 item (id-at-commonName=Microsoft RSA TLS CA 01)
	RDNSequence item: 1 item (id-at-commonName=*.msn.com)
	RDNSequence item: 1 item (id-at-countryName=IE)
	RDNSequence item: 1 item (id-at-organizationName=Baltimore)
	RDNSequence item: 1 item (id-at-organizationalUnitName=CyberTrust)
	RDNSequence item: 1 item (id-at-commonName=Baltimore CyberTrust Root)
	RDNSequence item: 1 item (id-at-countryName=US)
	RDNSequence item: 1 item (id-at-organizationName=Microsoft Corporation)
	RDNSequence item: 1 item (id-at-commonName=Microsoft RSA TLS CA 01)
	RelativeDistinguishedName item (id-at-organizationName=Microsoft Corporation)
	RelativeDistinguishedName item (id-at-commonName=Microsoft RSA TLS CA 01)
	RelativeDistinguishedName item (id-at-commonName=*.msn.com)
	RelativeDistinguishedName item (id-at-countryName=IE)
	RelativeDistinguishedName item (id-at-organizationName=Baltimore)
	RelativeDistinguishedName item (id-at-organizationalUnitName=CyberTrust)
	RelativeDistinguishedName item (id-at-commonName=Baltimore CyberTrust Root)
	RelativeDistinguishedName item (id-at-countryName=US)
	RelativeDistinguishedName item (id-at-organizationName=Microsoft Corporation)
	RelativeDistinguishedName item (id-at-commonName=Microsoft RSA TLS CA 01)
	Id: 2.5.4.10 (id-at-organizationName)
	Id: 2.5.4.3 (id-at-commonName)
	Id: 2.5.4.3 (id-at-commonName)
	Id: 2.5.4.6 (id-at-countryName)
	Id: 2.5.4.10 (id-at-organizationName)
	Id: 2.5.4.11 (id-at-organizationalUnitName)
	Id: 2.5.4.3 (id-at-commonName)
	Id: 2.5.4.6 (id-at-countryName)
	Id: 2.5.4.10 (id-at-organizationName)
	Id: 2.5.4.3 (id-at-commonName)
	CountryName: IE
	CountryName: US
	DirectoryString: printableString (1)
	DirectoryString: uTF8String (4)
	DirectoryString: printableString (1)
	DirectoryString: printableString (1)
	DirectoryString: printableString (1)
	DirectoryString: printableString (1)
	DirectoryString: printableString (1)
	printableString: Microsoft RSA TLS CA 01
	printableString: Baltimore
	printableString: CyberTrust
	printableString: Baltimore CyberTrust Root
	printableString: Microsoft Corporation
	printableString: Microsoft RSA TLS CA 01
	validity
	notBefore: utcTime (0)
	utcTime: 2023-09-08 23:53:46 (UTC)
	utcTime: 2020-07-21 23:00:00 (UTC)
	utcTime: 2024-10-08 07:00:00 (UTC)
	notAfter: utcTime (0)
	subject: rdnSequence (0)
	rdnSequence: 3 items (id-at-commonName=Microsoft RSA TLS CA 01,id-at-organizationName=Microsoft Corporation,id-at-countryName=US)
	subjectPublicKeyInfo
	algorithm (rsaEncryption)
	subjectPublicKey: 3082020a0282020100aa6277cf9a63b20684f39036f499f31451abea950a3b4606fd1141…
	modulus: 0x00aa6277cf9a63b20684f39036f499f31451abea950a3b4606fd11411ffe5b0658c9386e…
	publicExponent: 65537
	extensions: 8 items
	Extension (id-ms-application-certificate-policies)
	Extension (id-ms-certificate-template)
	Extension (id-pe-authorityInfoAccess)
	Extension (id-ce-subjectKeyIdentifier)
	Extension (id-ce-keyUsage)
	Extension (id-ce-subjectAltName)
	Extension (id-ce-cRLDistributionPoints)
	Extension (id-ce-certificatePolicies)
	Extension (id-ce-authorityKeyIdentifier)
	Extension (id-ce-extKeyUsage)
	Extension (id-ce-subjectKeyIdentifier)
	Extension (id-ce-authorityKeyIdentifier)
	Extension (id-ce-keyUsage)
	Extension (id-ce-extKeyUsage)
	Extension (id-ce-basicConstraints)
	Extension (id-pe-authorityInfoAccess)
	Extension (id-ce-cRLDistributionPoints)
	Extension (id-ce-certificatePolicies)
	Extension Id: 1.3.6.1.4.1.311.21.10 (id-ms-application-certificate-policies)
	Extension Id: 1.3.6.1.4.1.311.21.7 (id-ms-certificate-template)
	Extension Id: 1.3.6.1.5.5.7.1.1 (id-pe-authorityInfoAccess)
	Extension Id: 2.5.29.14 (id-ce-subjectKeyIdentifier)
	Extension Id: 2.5.29.15 (id-ce-keyUsage)
	Extension Id: 2.5.29.17 (id-ce-subjectAltName)
	Extension Id: 2.5.29.31 (id-ce-cRLDistributionPoints)
	Extension Id: 2.5.29.32 (id-ce-certificatePolicies)
	Extension Id: 2.5.29.35 (id-ce-authorityKeyIdentifier)
	Extension Id: 2.5.29.37 (id-ce-extKeyUsage)
	Extension Id: 2.5.29.14 (id-ce-subjectKeyIdentifier)
	Extension Id: 2.5.29.35 (id-ce-authorityKeyIdentifier)
	Extension Id: 2.5.29.15 (id-ce-keyUsage)
	Extension Id: 2.5.29.37 (id-ce-extKeyUsage)
	Extension Id: 2.5.29.19 (id-ce-basicConstraints)
	Extension Id: 1.3.6.1.5.5.7.1.1 (id-pe-authorityInfoAccess)
	Extension Id: 2.5.29.31 (id-ce-cRLDistributionPoints)
	Extension Id: 2.5.29.32 (id-ce-certificatePolicies)
	Serialized SCT Length: 118
	Serialized SCT Length: 116
	SCT Version: 0
	SCT Version: 0
	Log ID: 7a328c54d8b72db620ea38e0521ee98416703213854d3bd22bc13a57a352eb52
	Log ID: adf7befa7cff10c88b9d3d9c1e3e186ab467295dcfb10c24ca858634ebdc828a
	Timestamp: Sep  9, 2022 00:03:52.736000000 UTC
	Timestamp: Sep  9, 2022 00:03:53.173000000 UTC
	Extensions length: 0
	Extensions length: 0
	Signature Algorithm: ecdsa_secp256r1_sha256 (0x0403)
	Signature Algorithm: ecdsa_secp256r1_sha256 (0x0403)
	Signature Algorithm: rsa_pss_rsae_sha256 (0x0804)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Hash Algorithm Signature: SM2 (4)
	Signature Length: 71
	Signature Length: 69
	Signature: 3045022100ce5e614664625a1ec9ca4308cf8a0a2cab724e21745d18464a5f40e27e00ec…
