,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority
0,192.168.1.12,216.239.38.180,6,TLS,395,3,2023-03-30 22:49:50.004160,1680209390.004160455,51730,443,0x0018,1,1,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 324
	Encrypted Application Data: 7e450d7608c9c829583373d3723b4dab04939f726960eea9b2207c8c78e61f1af8e464c9…
	Application Data Protocol: http-over-tls
",,,,,,,,,
1,216.239.38.180,192.168.1.12,6,TLS,582,5,2023-03-30 22:49:50.277837,1680209390.277836509,443,51730,0x0018,1,330,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 511
	Encrypted Application Data: 84cfa26cd81d46349fd0a78dd0c44f24053620a247d5cdc01db4d3d74c2fc4875483dc97…
	Application Data Protocol: http-over-tls
",,,,,,,,,
2,216.239.38.180,192.168.1.12,6,TLS,968,6,2023-03-30 22:49:50.278496,1680209390.278496114,443,51730,0x0018,517,330,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 897
	Encrypted Application Data: 48cfbeaf5f6c90d98b8a0787b940a613f179ce679989b634a9e98180782993aa9322fdbc…
	Application Data Protocol: http-over-tls
",,,,,,,,,
3,216.239.38.180,192.168.1.12,6,TLS,97,8,2023-03-30 22:49:50.283983,1680209390.283982746,443,51730,0x0018,1419,330,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 26
	Encrypted Application Data: 746cb44b369a1e15c3e90a0f2e4cd0dd39011474a89158c3cf2b
	Application Data Protocol: http-over-tls
",,,,,,,,,
4,216.239.38.180,192.168.1.12,6,TLS,105,9,2023-03-30 22:49:50.284124,1680209390.284123762,443,51730,0x0018,1450,330,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 2b52fa56114d336f2b345724cf2e47f56e9812c6949e2850c0470a33ead45f19cdce
	Application Data Protocol: http-over-tls
",,,,,,,,,
5,192.168.1.12,216.239.38.180,6,TLS,105,11,2023-03-30 22:49:50.284309,1680209390.284308827,51730,443,0x0018,330,1489,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 1b5b7793641ac108f000021adafdbc51e56b56aba14475a9c5511981c7284191f83c
	Application Data Protocol: http-over-tls
",,,,,,,,,
6,192.168.1.12,192.168.1.1,17,DNS,90,13,2023-03-30 22:49:50.384686,1680209390.384685584,,,,,,,0xd623,0,www.theguardian.com,<Root>,1,0x0001,1,0,0
7,192.168.1.12,192.168.1.1,17,DNS,90,14,2023-03-30 22:49:50.384767,1680209390.384766612,,,,,,,0xa0df,0,www.theguardian.com,<Root>,28,0x0001,1,0,0
8,192.168.1.1,192.168.1.12,17,DNS,153,15,2023-03-30 22:49:50.394998,1680209390.394997749,,,,,,,0xd623,1,www.theguardian.com,www.theguardian.com,1,0x0001,1,2,0
9,192.168.1.1,192.168.1.12,17,DNS,165,16,2023-03-30 22:49:50.397096,1680209390.397096222,,,,,,,0xa0df,1,www.theguardian.com,www.theguardian.com,28,0x0001,1,2,0
