,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority
0,20.189.173.13,192.168.1.12,6,TLS,530,2,2023-03-30 05:52:32.283982,1680148352.283981724,443,38032,0x0019,1,944,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 471
	Encrypted Application Data: 000000000000000109f4dd36bd71716301b1a316bfeb80bcdec5d3b45675e0512d09e85f…
	Application Data Protocol: http-over-tls
",,,,,,,,,
1,192.168.1.12,20.189.173.13,6,TLS,85,3,2023-03-30 05:52:32.284512,1680148352.284512382,38032,443,0x0018,944,478,"Layer TLS:
	TLSv1.2 Record Layer: Encrypted Alert
	Content Type: Alert (21)
	Version: TLS 1.2 (0x0303)
	Length: 26
	Alert Message: Encrypted Alert
",,,,,,,,,
2,192.168.1.12,149.154.167.41,6,TLS,347,6,2023-03-30 05:52:33.824953,1680148353.824952912,60494,443,0x0018,1,1,"Layer TLS:
",,,,,,,,,
3,149.154.167.41,192.168.1.12,6,TLS,427,8,2023-03-30 05:52:33.844688,1680148353.844688001,443,60494,0x0018,1,282,"Layer TLS:
",,,,,,,,,
4,149.154.167.41,192.168.1.12,6,TLS,171,9,2023-03-30 05:52:33.848909,1680148353.848909342,443,60494,0x0018,362,282,"Layer TLS:
",,,,,,,,,
5,192.168.1.12,192.168.1.1,17,DNS,71,15,2023-03-30 05:52:37.275728,1680148357.275728113,,,,,,,0x668a,0,www.msn.com,,1,0x0001,1,0,0
6,192.168.1.12,192.168.1.1,17,DNS,71,16,2023-03-30 05:52:37.275846,1680148357.275845522,,,,,,,0xdb40,0,www.msn.com,,28,0x0001,1,0,0
7,192.168.1.1,192.168.1.12,17,DNS,146,17,2023-03-30 05:52:37.280165,1680148357.280165329,,,,,,,0x668a,1,www.msn.com,www.msn.com,1,0x0001,1,3,0
8,192.168.1.1,192.168.1.12,17,DNS,187,18,2023-03-30 05:52:37.280581,1680148357.280581036,,,,,,,0xdb40,1,www.msn.com,www.msn.com,28,0x0001,1,2,1
9,192.168.1.12,192.168.1.1,17,DNS,79,19,2023-03-30 05:52:37.280799,1680148357.280799368,,,,,,,0x1df8,0,a-0003.a-msedge.net,,28,0x0001,1,0,0
10,192.168.1.1,192.168.1.12,17,DNS,79,20,2023-03-30 05:52:37.281875,1680148357.281875100,,,,,,,0x1df8,1,a-0003.a-msedge.net,,28,0x0001,1,0,0
