,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority
0,192.168.1.12,149.154.167.41,6,TLS,267,3,2023-03-30 05:44:42.546245,1680147882.546245233,60494,443,0x0018,1,1,"Layer TLS:
",,,,,,,,,
1,149.154.167.41,192.168.1.12,6,TLS,347,4,2023-03-30 05:44:42.565266,1680147882.565266283,443,60494,0x0018,1,202,"Layer TLS:
",,,,,,,,,
2,192.168.1.12,149.154.167.41,6,TLS,299,6,2023-03-30 05:44:42.846075,1680147882.846074833,60494,443,0x0018,202,282,"Layer TLS:
",,,,,,,,,
3,94.182.164.195,192.168.1.12,6,TLS,101,8,2023-03-30 05:44:43.502450,1680147883.502449401,443,44472,0x0018,1,1,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 30
	Encrypted Application Data: 982c3f0b5c604e518b9456a483d30584600c1f9d51ccb8e111dfbb09081a
	Application Data Protocol: http-over-tls
",,,,,,,,,
4,76.223.31.44,192.168.1.12,6,TLS,106,10,2023-03-30 05:44:44.551853,1680147884.551852801,443,49534,0x0018,1,1,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 35
	Encrypted Application Data: 00000000000000475c3b88d1be9ce3e21e3af8c02b6287761f7f39bbaaf8ad29124e8b
	Application Data Protocol: http-over-tls
",,,,,,,,,
5,192.168.1.12,76.223.31.44,6,TLS,108,11,2023-03-30 05:44:44.561225,1680147884.561224960,49534,443,0x0018,1,41,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 37
	Encrypted Application Data: 000000000000007c60e17543c3a34133f4c69eac4dc59032f734b1090c925f2f0dfc5de2…
	Application Data Protocol: http-over-tls
",,,,,,,,,
6,192.168.1.12,76.223.31.44,6,TLS,108,12,2023-03-30 05:44:44.561312,1680147884.561312290,49534,443,0x0018,43,41,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 37
	Encrypted Application Data: 000000000000007dda7e333b886859432ef9273749dcc2c360b6a17ee80e768d14574b9a…
	Application Data Protocol: http-over-tls
",,,,,,,,,
7,192.168.1.12,192.168.1.1,17,DNS,74,17,2023-03-30 05:44:46.601624,1680147886.601624205,,,,,,,0x6dcb,0,www.nypost.com,,1,0x0001,1,0,0
8,192.168.1.12,192.168.1.1,17,DNS,74,18,2023-03-30 05:44:46.601742,1680147886.601742061,,,,,,,0x6665,0,www.nypost.com,,28,0x0001,1,0,0
9,192.168.1.1,192.168.1.12,17,DNS,74,19,2023-03-30 05:44:46.603205,1680147886.603205266,,,,,,,0x6665,1,www.nypost.com,,28,0x0001,1,0,0
10,192.168.1.1,192.168.1.12,17,DNS,90,20,2023-03-30 05:44:46.615431,1680147886.615430859,,,,,,,0x6dcb,1,www.nypost.com,www.nypost.com,1,0x0001,1,1,0
