Country,City,Continent,Provider,Host,Ping,Latitude,Longitude,Region,IP
Russia,Moscow,Europe,Beeline,msk-speedtest2.corbina.net,175.995812000025,55.7522,37.6156,Moskva,213.221.25.2
United States,Atlanta,North America,Newworld CATV,test1.newworldcatv.ph,49.3871799999965,33.749,-84.388,Georgia,45.79.222.138
United States,Schaumburg,North America,XenSpec,sp.netinformatik.com,69.728184000013,42.0142,-88.0932,Illinois,23.160.192.16
Russia,Yoshkar-Ola,Europe,DOM.RU,speedtest.yola.ertelecom.ru,181.908539000005,56.6388,47.8908,"Mariy El, Respublika",
Colombia,Barranquilla,South America,TigoUne,speedtestbaq1.tigo.com.co,102.960862999993,10.9639,-74.7964,Atlantico,
Brazil,Ibiruba,South America,DGNet,speedtest.dgnet.com.br,177.754893000014,-28.6275,-53.0897,Rio Grande do Sul,
Brazil,Guarapuava,South America,Almix Internet,www.almix.com.br,193.811906999997,-25.3953,-51.4581,Parana,
Italy,Latina,Europe,Panservice,speedtest.panservice.it,163.251827000011,41.4661,12.9043,Lazio,212.66.97.26
Poland,Debowiec,Europe,FHU Vifnet,speedtest.vifnet.pl,170.895226999988,49.6837,21.4607,Podkarpackie,
Tanzania,Arusha,Africa,Arusha Art Ltd,speedtest.cybernet.co.tz,283.225138000006,-3.3667,36.6833,Arusha,
United States,Meeker,North America,Colorado Fiber Community,rspeedtest.fibercommunity.net,54.8528240000223,40.0449,-107.9447,Colorado,
Brazil,Porto Alegre,South America,http://topwebtelecom.net.br/,topwebtelecom.net.br,162.641070999996,-30.0331,-51.23,Rio Grande do Sul,177.12.170.30
Australia,Perth,Oceania,Emerge Internet,speedtest-p1.emergeinternet.com.au,194.771193000008,-31.9522,115.8614,Western Australia,103.101.234.108
Brazil,Sobral,South America,BrandaoNet,speed1.brandaonet.com.br,216.444438999986,-3.6861,-40.3497,Ceara,187.60.32.212
Brazil,Sao Paulo,South America,GAMERS CLUB,speedtest.gamersclub.com.br,163.798019000012,-23.5474,-46.6374,Sao Paulo,
Indonesia,Jakarta,Asia,Firstmedia,sby-speedtest.link.net.id,213.903966999993,-6.2087,106.8455,Jakarta Raya,
France,Paris,Europe,LaFibre.info,bordeaux.lafibre.info,145.290051000018,48.8584,2.2945,Ile-de-France,
United States,Tampa,North America,SPEED TURBO INTERNET,speedturbo.com.br,60.8567639999933,28.0074,-82.5154,Florida,199.167.144.250
Germany,Karlsruhe,Europe,TelemaxX Telekommunikation GmbH,speedtest.telemaxx.net,147.952368999995,49.0047,8.3858,Baden-Wurttemberg,85.115.3.102
Brazil,Rio do Sul,South America,Taionet Informatica Ltda,sp1.taionet.com.br,179.424821999987,-27.2142,-49.6431,Santa Catarina,168.195.196.7
Canada,Edmonton,North America,Switch Inc.,speedtest.switch.ca,60.435162999994,53.5501,-113.4687,Alberta,
Thailand,Bangkok,Asia,"Thaiware Communication Co.,Ltd.",speedtest.thaiware.com,200.399818000022,13.75,100.5167,Krung Thep Maha Nakhon,
Pakistan,Karachi,Asia,WorldCall,speedtest-lhr.worldcall.pk,270.798570000011,24.9056,67.0822,Sindh,117.102.7.222
Australia,Sydney,Oceania,softlayer,speedtest.syd01.softlayer.com,152.26849199999,-33.8679,151.2073,New South Wales,
Russia,Trubchevsk,Europe,Satelcom-Service Ltd.,www.trub.net.ru,188.500398999992,52.5798,33.7644,Bryanskaya oblast',
United States,Atlanta,North America,Total Information Management Corporation,ns1.timbrc.ph,49.8608750000074,33.749,-84.388,Georgia,
United States,Richmond,North America,"VA SkyWire, LLC",sp1.vaskywire.net,77.2951570000089,37.5922,-77.498,Virginia,162.245.135.1
Canada,Montreal,North America,Bell Canada,mtl02spd01.srvr.bell.ca,80.8247789999825,45.5088,-73.5878,Quebec,
Belize,Dangriga,North America,Speednet Communications LTD.,speedtest2.speednet-wireless.com,74.2961410000191,16.9692,-88.2321,Stann Creek,186.65.88.74
Indonesia,Jakarta,Asia,Circlecom,speedtest.circleone.net.id,188.028210999988,-6.2087,106.8455,Jakarta Raya,
Brazil,Anapolis,South America,EXPLORERNET TELECOM,speedtest-anapolis-01.explorernet.com.br,181.832806999978,-16.3267,-48.9528,Goias,177.75.48.131
Israel,Haifa,Asia,LAN-WAN I.T Services LTD,sts01.cloudxt.net,187.638644000003,32.8156,34.9892,Hefa,
Spain,Madrid,Europe,Be Free Networks S.L.,speedtest.befreewifi.com,143.410958999993,40.417,-3.6839,"Madrid, Comunidad de",
Germany,Falkenstein,Europe,BOR-WAN Michał Paszkowski,bor-wan.pl,150.750410000001,50.4779,12.3713,Sachsen,88.99.210.143
Netherlands,Amsterdam,Europe,Ziggo,speedtest1.mnd.bulk.iss.as9143.net,157.846601999978,52.3785,4.9,Noord-Holland,
Thailand,Nakhon Si Thammarat,Asia,AIS,speedtest-sni1.ais-idc.net,207.983771999977,8.4333,99.9667,Nakhon Si Thammarat,58.64.55.12
Brazil,Carinhanha,South America,R4 TELECOM,speedtest-pma.r4tecnologia.net,192.751829000002,-14.3047,-43.765,Bahia,
Ukraine,Kovel',Europe,TTI-Ukraine,tti-ukraine.net.ua,174.807776000023,51.2153,24.7087,Volynska oblast,95.47.248.10
Uzbekistan,Tashkent,Asia,Ucell,speedtest.ucell.uz,229.485415999989,41.2646,69.2163,Toshkent,
Poland,Poznan,Europe,Horyzont Technologie Internetowe,test.horyzont.net,168.110027000012,52.4069,16.9299,Wielkopolskie,
Iraq,Kuysanjaq,Asia,AlsardFiber,speedtest.alsardfiber.com,217.985069999997,36.0862,44.6294,Arbil,
Poland,Krakow,Europe,F.H.U. Compower,speedtest.compower.pl,167.399678999999,50.0833,19.9167,Malopolskie,
Cyprus,Nicosia,Europe,GhoFi,st1-cy.ghofi.com,207.769108999997,35.1667,33.3667,Lefkosia,
Ukraine,Kiev,Europe,Lanet Network,speedtest.lanet.ua,171.932147000007,50.4547,30.5238,Kyiv,
United States,Rexburg,North America,City of Rexburg,spr.fybercom.net,54.4606830000021,43.826,-111.7897,Idaho,
Brazil,Sao Paulo,South America,Vivo CTA,cta.testepower.com.br,169.158213999992,-23.5474,-46.6374,Sao Paulo,
Brazil,Varginha,South America,NetVGA,speedtest.netvga.com.br,167.864024000011,-21.5514,-45.4303,Minas Gerais,
United States,Tallahassee,North America,"CenturyLink, Inc",spokane.speedtest.centurylink.net,43.4420219999936,30.4383,-84.2807,Florida,
Israel,Netanya,Asia,Cellcom Israel,speed.cellcom.co.il,194.408449999997,32.3336,34.8578,HaMerkaz,
Russia,Ulan-Ude,North America,MTS,213.87.101.14,256.132292999979,51.826,107.6098,"Buryatiya, Respublika",
Saudi Arabia,Riyadh,Asia,Atheeb Telecoms Company (GO),hispeedtest.go.com.sa,236.660809,24.6877,46.7219,Ar Riyad,94.77.249.26
Ukraine,Hnidyn,Europe,STRIM,speedtest.strim.com.ua,171.765891999996,50.329,30.7106,Kyivska oblast,
Mozambique,Mozambique,Africa,Movitel,speedtest1.movitel.co.mz,307.420304999994,-15.0347,40.7345,Nampula,
Slovakia,Ilava,Europe,kiki internet,tnjil.kiki.sk,162.138024000001,48.9977,18.2353,Nitriansky kraj,
Belarus,Minsk,Europe,"JLLC ""COSMOS TV""",sp1.cosmostv.com,170.623826999986,53.9,27.5667,Minskaya voblasts',213.184.238.32
Japan,Tokyo,Asia,Future Plan,openvz3.terence.cf,107.310068000004,35.6895,139.6917,Tokyo,
Germany,Alfdorf,Europe,TBits.net GmbH,speedtest1.tbits.net,171.831695000009,48.8438,9.7186,Baden-Wurttemberg,
Cambodia,Phnom Penh,Asia,Smart Axiata,speedtest.smart.com.kh,210.175611000011,11.5625,104.916,Phnom Penh,
Canada,Calgary,North America,WestNet Wireless,speedtest.westnet.ca,55.2460640000163,51.0386,-113.9815,Alberta,104.157.124.34
Brazil,Imperatriz,South America,RADAR CONNECT - BANDA LARGA,speedtest.radarconnect.com.br,209.942301000012,-5.5264,-47.4917,Maranhao,
Philippines,San Juan,Asia,ClearPath Networks,speedtest.clearpath.net.ph,164.324065000017,9.1603,123.4926,Zambales,
Brazil,Ubaitaba,South America,PontoNet,s4.telecompontonet.com,182.749287999997,-14.3125,-39.3233,Bahia,
Spain,Barcelona,Europe,OmniAccess S.L.,speedtest.omniaccess.com,157.175271,41.3888,2.159,Catalunya,
Italy,Milan,Europe,Stadtwerke Finsterwalde,speedtest_sfdigital.swfi.de,156.521687999998,45.4643,9.1895,Lombardia,Not available
Brazil,Joao Pessoa,South America,3M TELECOM,speedtest.bandalarga3m.com.br,217.655339000004,-7.115,-34.8631,Pariba,
Russia,Kaliningrad,Europe,Tis-Dialog,speedtest.tis-dialog.ru,180.666128000013,54.7065,20.511,Kaliningradskaya oblast',83.219.128.133
Australia,Adelaide,Oceania,Telstra,ade1.speedtest.telstra.net,166.293268000004,-34.9287,138.5986,South Australia,
Taiwan,Taitung,Asia,Chief Telecom,dlv3-1.speedtest.idv.tw,139.900237000006,22.7583,121.1444,Taitung,
United States,New York City,North America,Honest.net,speedtest.honest.net,66.6845640000133,40.7135,-74.008,New York,
Malaysia,Kuching,Asia,Celcom Axiata,speedosht1.celcom.net.my,180.561200999989,1.55,110.3333,Sarawak,
United States,Wenatchee,North America,iFIBER Communications,speedtest.ifiber.tv,40.8984870000211,47.4235,-120.3103,Washington,
Germany,Munich,Europe,Rostelecom,speedtest.cherkessk.u-disk.ru,158.664324,48.1374,11.5755,Bayern,
Netherlands,Amsterdam,Europe,Uniweb,speed.uniweb.net.co,2000,52.3785,4.9,Noord-Holland,
United States,Green City,North America,Northeast Missouri Rural Telephone,speedtest.nemr.net,61.0915020000107,40.2641,-92.9518,Missouri,
Poland,Bielsko-Biala,Europe,Simant,st1.simant.pl,167.060208999999,49.8224,19.0469,Slaskie,
Serbia,Novi Sad,Europe,E-CAPS,speed1.e-caps.net,176.986983999996,45.2517,19.8369,Juznobacki okrug,
Russia,Nizhnevartovsk,Europe,JSC Avantel,st0-nv.avantel.ru,213.759377000002,60.9344,76.5531,Khanty-Mansiyskiy avtonomnyy okrug,
Brazil,Tres Rios,South America,TR Serviços de Telecomunicações LTDA ME,speedtest.trbandalarga.com.br,161.489195999991,-22.1167,-43.2092,Rio de Janeiro,
Australia,Mount Gambier,Oceania,Optus,rockingham.wa.speedtest.optusnet.com.au,194.79145599999,-37.8318,140.7792,South Australia,
United States,Bossier City,North America,Suddenlink Communications LLC,speedtest21.suddenlink.net,52.5088759999903,32.516,-93.7321,Louisiana,
Brazil,Cerquilho,South America,FasterNet,speedtest.testesuavelocidade.com.br,166.134607999993,-23.165,-47.7436,Sao Paulo,
United States,Taos,North America,"Brownrice Internet, Inc",web1.brownrice.com,45.7693980000045,36.3974,-105.5945,New Mexico,
