Country,City,Continent,Provider,Host,Ping,Latitude,Longitude,Region,IP,Distance
Russia,Moscow,Europe,Beeline,msk-speedtest2.corbina.net,57.50533499985977,55.7522,37.6156,Moskva,213.221.25.2,2291.208195987436
United States,Atlanta,North America,Newworld CATV,test1.newworldcatv.ph,140.40366599965637,33.749,-84.388,Georgia,45.79.222.138,7681.768628309184
United States,Schaumburg,North America,XenSpec,sp.netinformatik.com,113.55010399984167,42.0142,-88.0932,Illinois,23.160.192.16,7328.437548696293
Russia,Yoshkar-Ola,Europe,DOM.RU,speedtest.yola.ertelecom.ru,56.92048099990643,56.6388,47.8908,"Mariy El, Respublika",,2934.1500116533825
Colombia,Barranquilla,South America,TigoUne,speedtestbaq1.tigo.com.co,157.69326400004502,10.9639,-74.7964,Atlantico,,8681.995108934496
Brazil,Ibiruba,South America,DGNet,speedtest.dgnet.com.br,235.77272900001844,-28.6275,-53.0897,Rio Grande do Sul,,10337.943011474485
Brazil,Guarapuava,South America,Almix Internet,www.almix.com.br,2000.0,-25.3953,-51.4581,Parana,,9956.383793093228
Italy,Latina,Europe,Panservice,speedtest.panservice.it,16.524852000202372,41.4661,12.9043,Lazio,212.66.97.26,536.2254342797407
Poland,Debowiec,Europe,FHU Vifnet,speedtest.vifnet.pl,44.01414899984957,49.6837,21.4607,Podkarpackie,,1033.8895915898445
Tanzania,Arusha,Africa,Arusha Art Ltd,speedtest.cybernet.co.tz,158.74637499973687,-3.3667,36.6833,Arusha,,6055.091452951345
United States,Meeker,North America,Colorado Fiber Community,rspeedtest.fibercommunity.net,135.747874000117,40.0449,-107.9447,Colorado,,8657.5083592605
Brazil,Porto Alegre,South America,http://topwebtelecom.net.br/,topwebtelecom.net.br,203.7631009998222,-30.0331,-51.23,Rio Grande do Sul,177.12.170.30,10348.665877536385
Australia,Perth,Oceania,Emerge Internet,speedtest-p1.emergeinternet.com.au,269.63702000011835,-31.9522,115.8614,Western Australia,103.101.234.108,13692.929437117084
Brazil,Sobral,South America,BrandaoNet,speed1.brandaonet.com.br,184.2347990000235,-3.6861,-40.3497,Ceara,187.60.32.212,7317.103836371417
Brazil,Sao Paulo,South America,GAMERS CLUB,speedtest.gamersclub.com.br,220.23444700016626,-23.5474,-46.6374,Sao Paulo,,9499.85147563161
Indonesia,Jakarta,Asia,Firstmedia,sby-speedtest.link.net.id,192.23004100012986,-6.2087,106.8455,Jakarta Raya,,11096.63669775868
France,Paris,Europe,LaFibre.info,bordeaux.lafibre.info,28.52905000008832,48.8584,2.2945,Ile-de-France,,644.3535721523644
United States,Tampa,North America,SPEED TURBO INTERNET,speedturbo.com.br,111.06671700008519,28.0074,-82.5154,Florida,199.167.144.250,7973.246376902632
Germany,Karlsruhe,Europe,TelemaxX Telekommunikation GmbH,speedtest.telemaxx.net,18.309920999854512,49.0047,8.3858,Baden-Wurttemberg,85.115.3.102,398.275712125538
Brazil,Rio do Sul,South America,Taionet Informatica Ltda,sp1.taionet.com.br,219.48275400018247,-27.2142,-49.6431,Santa Catarina,168.195.196.7,10006.245244582771
Canada,Edmonton,North America,Switch Inc.,speedtest.switch.ca,174.08749900005205,53.5501,-113.4687,Alberta,,7762.538914936147
Thailand,Bangkok,Asia,"Thaiware Communication Co.,Ltd.",speedtest.thaiware.com,171.0425370001758,13.75,100.5167,Krung Thep Maha Nakhon,,9035.120834753609
Pakistan,Karachi,Asia,WorldCall,speedtest-lhr.worldcall.pk,137.13899300000776,24.9056,67.0822,Sindh,117.102.7.222,5605.325287613575
Australia,Sydney,Oceania,softlayer,speedtest.syd01.softlayer.com,291.3136150000355,-33.8679,151.2073,New South Wales,,16555.0565991221
Russia,Trubchevsk,Europe,Satelcom-Service Ltd.,www.trub.net.ru,65.3773219996765,52.5798,33.7644,Bryanskaya oblast',,1951.3598520182964
United States,Atlanta,North America,Total Information Management Corporation,ns1.timbrc.ph,140.1109999997061,33.749,-84.388,Georgia,,7681.768628309184
United States,Richmond,North America,"VA SkyWire, LLC",sp1.vaskywire.net,90.74748400007593,37.5922,-77.498,Virginia,162.245.135.1,6929.587170003905
Canada,Montreal,North America,Bell Canada,mtl02spd01.srvr.bell.ca,101.29801100038094,45.5088,-73.5878,Quebec,,6158.548212624665
Belize,Dangriga,North America,Speednet Communications LTD.,speedtest2.speednet-wireless.com,126.06165199986208,16.9692,-88.2321,Stann Creek,186.65.88.74,9245.18080464277
Indonesia,Jakarta,Asia,Circlecom,speedtest.circleone.net.id,160.1515119996293,-6.2087,106.8455,Jakarta Raya,,11096.63669775868
Brazil,Anapolis,South America,EXPLORERNET TELECOM,speedtest-anapolis-01.explorernet.com.br,215.59821100026966,-16.3267,-48.9528,Goias,177.75.48.131,9000.983766944184
Israel,Haifa,Asia,LAN-WAN I.T Services LTD,sts01.cloudxt.net,68.01929000039308,32.8156,34.9892,Hefa,,2617.7643968732227
Spain,Madrid,Europe,Be Free Networks S.L.,speedtest.befreewifi.com,32.39854100002049,40.417,-3.6839,"Madrid, Comunidad de",,1188.981354881793
Germany,Falkenstein,Europe,BOR-WAN Michał Paszkowski,bor-wan.pl,22.352146000230277,50.4779,12.3713,Sachsen,88.99.210.143,605.827627950346
Netherlands,Amsterdam,Europe,Ziggo,speedtest1.mnd.bulk.iss.as9143.net,20.269131000077323,52.3785,4.9,Noord-Holland,,830.3211586481438
Thailand,Nakhon Si Thammarat,Asia,AIS,speedtest-sni1.ais-idc.net,193.2277709997834,8.4333,99.9667,Nakhon Si Thammarat,58.64.55.12,9408.102523098283
Brazil,Carinhanha,South America,R4 TELECOM,speedtest-pma.r4tecnologia.net,224.26893900001232,-14.3047,-43.765,Bahia,,8491.0517391472
Ukraine,Kovel',Europe,TTI-Ukraine,tti-ukraine.net.ua,42.118156000015006,51.2153,24.7087,Volynska oblast,95.47.248.10,1312.5345194079296
Uzbekistan,Tashkent,Asia,Ucell,speedtest.ucell.uz,193.7701960000595,41.2646,69.2163,Toshkent,,4773.910638573735
Poland,Poznan,Europe,Horyzont Technologie Internetowe,test.horyzont.net,35.800783000013325,52.4069,16.9299,Wielkopolskie,,956.807395734358
Iraq,Kuysanjaq,Asia,AlsardFiber,speedtest.alsardfiber.com,76.98143700008586,36.0862,44.6294,Arbil,,3138.028533292282
Poland,Krakow,Europe,F.H.U. Compower,speedtest.compower.pl,35.37723500039647,50.0833,19.9167,Malopolskie,,952.6416766164108
Cyprus,Nicosia,Europe,GhoFi,st1-cy.ghofi.com,79.47052700001223,35.1667,33.3667,Lefkosia,,2338.42672066091
Ukraine,Kiev,Europe,Lanet Network,speedtest.lanet.ua,42.19621200036272,50.4547,30.5238,Kyiv,,1680.1226296071627
United States,Rexburg,North America,City of Rexburg,spr.fybercom.net,188.2777430000715,43.826,-111.7897,Idaho,,8531.374903843152
Brazil,Sao Paulo,South America,Vivo CTA,cta.testepower.com.br,221.828842999912,-23.5474,-46.6374,Sao Paulo,,9499.85147563161
Brazil,Varginha,South America,NetVGA,speedtest.netvga.com.br,220.18809900009728,-21.5514,-45.4303,Minas Gerais,,9247.815010632356
United States,Tallahassee,North America,"CenturyLink, Inc",spokane.speedtest.centurylink.net,163.74507299997276,30.4383,-84.2807,Florida,,7918.988929968381
